chompMax,chompProb,calmProb,dogsW,catsW,birdsW,fishW,capyW,draws,avgCapyAlive,avgTicks,avgHpCats,avgHpDogs,avgHpBirds,avgHpFish,avgHpCapy
14,0.5,0.12,0,1,0,4,195,0,1.89,6546,10.55,0,0,5.23,122.2
14,0.5,0.2,0,2,0,5,193,0,1.83,6521,14.33,0,0,5.11,136.5
14,0.5,0.28,0,8,0,19,173,0,1.6,6857,16.84,0,0,8.29,142.79
14,0.62,0.12,0,1,0,8,191,0,2.23,7317,14.03,1.5,0,6.34,120.73
14,0.62,0.2,0,1,0,17,182,0,2.42,6851,16.46,1,0,7.29,140.85
14,0.62,0.28,0,8,0,13,179,0,1.8,6232,15.53,0,0.14,6.95,136.06
14,0.74,0.12,1,2,0,14,183,0,2.68,7205,19.89,1.97,0.16,7.15,123.63
14,0.74,0.2,0,3,0,6,191,0,2.4,7033,20.7,2,0.09,5.04,122.13
14,0.74,0.28,0,1,0,8,191,0,2.25,6579,16.51,1,0,5.41,110.78
18,0.5,0.12,0,1,0,0,199,0,1.74,4794,7.59,0,0,1.24,117.39
18,0.5,0.2,0,0,0,0,200,0,1.78,4879,8.22,0,0,1.51,128.99
18,0.5,0.28,0,7,0,2,191,0,1.52,6396,15.18,0,0,3.89,131.79
18,0.62,0.12,0,1,0,1,198,0,1.72,5946,6.99,0,0,4.86,110.1
18,0.62,0.2,0,0,0,7,193,0,1.68,6910,10.1,0,0,7.05,118.94
18,0.62,0.28,0,9,0,2,189,0,1.6,6137,11.62,0,0,5.42,124.31
18,0.74,0.12,0,0,0,3,197,0,1.79,6991,7.28,0,0,7.61,109.29
18,0.74,0.2,0,4,0,2,194,0,1.73,6202,7.36,0,0,7.64,107.88
18,0.74,0.28,0,5,0,3,192,0,1.52,6744,9.19,0,0,7.77,99.47
22,0.5,0.12,0,0,0,0,200,0,1.41,2793,3.07,0,0,0,106.9
22,0.5,0.2,0,0,0,0,200,0,1.52,3112,3.82,0,0,0,116.8
22,0.5,0.28,0,0,0,0,200,0,1.57,4953,8.62,0,0,0.84,125.1
22,0.62,0.12,0,0,0,0,200,0,1.4,3975,4.53,0,0,0,108.45
22,0.62,0.2,0,1,0,0,199,0,1.57,6334,5.9,0,0,7.28,112.38
22,0.62,0.28,0,0,0,0,200,0,1.56,6674,8.44,0,0,8.15,118.64
22,0.74,0.12,0,0,0,1,199,0,1.59,6018,4.87,0,0,7.72,99.77
22,0.74,0.2,0,0,0,0,200,0,1.36,6773,4.4,0,0,9.76,99.04
22,0.74,0.28,0,1,0,0,199,0,1.39,7087,5.07,0,0,9.9,96.02
